,Name,Code
0,비피도,238200
1,일동홀딩스,000230
2,일동제약,249420
3,알피바이오,314140
4,인벤티지랩,389470
5,하이텍팜,106190
6,이글벳,044960
7,중앙백신,072020
8,안국약품,001540
9,대화제약,067080
10,우진비앤지,018620
11,JW생명과학,234080
12,세토피아,222810
13,옵투스제약,131030
14,SK바이오팜,326030
15,JW중외제약우,001065
16,동성제약,002210
17,진바이오텍,086060
18,보로노이,310210
19,에이치엘사이언스,239610
20,환인제약,016580
21,JW중외제약2우B,001067
22,퓨쳐메디신,341170
23,한미약품,128940
24,한미사이언스,008930
25,제일파마홀딩스,002620
26,유한양행우,000105
27,종근당홀딩스,001630
28,삼진제약,005500
29,옵티팜,153710
30,하나제약,293480
31,에스텍파마,041910
32,부광약품,003000
33,동아에스티,170900
34,코스맥스엔비티,222040
35,비씨월드제약,200780
36,코스맥스비티아이,044820
37,프레스티지바이오로직스,334970
38,동아쏘시오홀딩스,000640
39,퓨쳐켐,220100
40,대웅,003090
41,비엘팜텍,065170
42,씨티씨바이오,060590
43,셀트리온,068270
44,화일약품,061250
45,삼아제약,009300
46,에이프로젠 H&G,109960
47,에이프로젠제약,003060
48,유한양행,000100
49,제일바이오,052670
50,경동제약,011040
51,대한약품,023910
52,테라젠이텍스,066700
53,카이노스메드,284620
54,한국유니온제약,080720
55,유유제약,000220
56,녹십자홀딩스2우,005257
57,아이큐어,175250
58,대성미생물,036480
59,셀트리온헬스케어,091990
60,HK이노엔,195940
61,보령,003850
62,녹십자,006280
63,제일약품,271980
64,프레스티지바이오파마,950210
65,신신제약,002800
66,진양제약,007370
67,위더스제약,330350
68,안트로젠,065660
69,삼성바이오로직스,207940
70,노바렉스,194700
71,경남제약,053950
72,휴온스글로벌,084110
73,광동제약,009290
74,휴럼,353190
75,대봉엘에스,078140
76,비보존 제약,082800
77,차백신연구소,261780
78,SK바이오사이언스,302440
79,일양약품,007570
80,씨케이에이치,900120
81,유유제약1우,000225
82,JW중외제약,001060
83,에스씨엠생명과학,298060
84,코미팜,041960
85,대한뉴팜,054670
86,JW홀딩스,096760
87,동화약품,000020
88,경보제약,214390
89,한독,002390
90,녹십자웰빙,234690
91,이연제약,102460
92,휴메딕스,200670
93,대원제약,003220
94,종근당바이오,063160
95,뉴트리,270870
96,아미노로직스,074430
97,파마리서치,214450
98,녹십자홀딩스,005250
99,대웅제약,069620
100,콜마비앤에이치,200130
101,에이비온,203400
102,알리코제약,260660
103,종근당,185750
104,일양약품우,007575
105,애드바이오텍,179530
106,JW신약,067290
107,삼성제약,001360
108,코오롱생명과학,102940
109,셀트리온제약,068760
110,큐라클,365270
111,KPX생명과학,114450
112,영진약품,003520
113,유유제약2우B,000227
114,국전약품,307750
115,동구바이오제약,006620
116,현대약품,004310
117,엔지켐생명과학,183490
118,이수앱지스,086890
119,서울제약,018680
120,씨엔알리서치,359090
121,에스티팜,237690
122,한올바이오파마,009420
123,바이넥스,053030
124,조아제약,034940
125,유나이티드제약,033270
126,프롬바이오,377220
127,국제약품,002720
128,일성신약,003120
129,명문제약,017180
130,휴온스,243070
131,티움바이오,321550
132,고려제약,014570
133,더블유에스아이,299170
134,삼일제약,000520
135,동국제약,086450
136,바이젠셀,308080
137,바이오플러스,099430
138,압타바이오,293780
139,에이디엠코리아,187660
140,HLB제약,047920
141,신풍제약,019170
142,한국파마,032300
143,팜스빌,318010
144,메드팩토,235980
145,박셀바이오,323990
146,삼천당제약,000250
147,팜젠사이언스,004720
148,초록뱀헬스케어,118000
149,지엘팜텍,204840
150,CMG제약,058820
151,네오이뮨텍,950220
152,HLB테라퓨틱스,115450
153,브릿지바이오테라퓨틱스,288330
154,신일제약,012790
155,드림씨아이에스,223250
156,에이프릴바이오,397030
157,샤페론,378800
158,지놈앤컴퍼니,314130
159,HLB,028300
160,HLB생명과학,067630
161,바이온,032980
162,신풍제약우,019175
